"Idr�tsorganisationernes medlemmer efter alder, k�n, omr�de, aktivitet"
"og tid"

" ";" ";" ";" ";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"0-12 �r"
" ";"M�nd"
" ";"Kvinder"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";1220;1230;1190;1250;1160;1040;1060;1010;920
" ";" ";" ";"Amerikansk fodbold";410;520;650;590;550;670;800;650;650
" ";" ";" ";"Badminton";5640;5270;5250;5550;5630;5440;5170;5160;5220
" ";" ";" ";"Basketball";1000;970;980;890;970;990;1140;1170;1220
" ";" ";" ";"Bordtennis";190;250;240;190;180;180;160;140;150
" ";" ";" ";"Cykling";540;510;470;550;470;510;440;410;390
" ";" ";" ";"Dans";1380;1290;1510;1810;1630;1920;1860;1620;1510
" ";" ";" ";"Esport";..;..;..;20;50;90;90;100;150
" ";" ";" ";"Fitness";6180;5900;6530;7150;7850;8130;7560;6510;7710
" ";" ";" ";"Fodbold";21020;20090;19470;17980;17730;17580;16600;17200;17370
" ";" ";" ";"Golf";1430;1430;1110;960;900;870;980;1010;1000
" ";" ";" ";"Gymnastik";15790;16450;17900;18840;19480;20300;19190;16100;15380
" ";" ";" ";"H�ndbold";14340;13750;13480;13360;13190;13580;13520;12400;12710
" ";" ";" ";"Ishockey";90;110;120;150;170;170;190;210;200
" ";" ";" ";"Kano/Kajak";600;610;650;680;760;700;600;610;460
" ";" ";" ";"L�b";870;750;850;680;670;620;460;450;380
" ";" ";" ";"Padel";..;..;..;..;..;..;..;320;510
" ";" ";" ";"Ridning";15170;15400;14830;14070;13560;13580;13560;14100;14580
" ";" ";" ";"Roning";460;450;420;460;440;440;360;400;340
" ";" ";" ";"Sejlsport";830;850;890;840;790;810;890;930;880
" ";" ";" ";"Skydning";1350;1310;1230;1150;1280;1320;1200;1210;1200
" ";" ";" ";"Styrkel�ft";130;190;170;180;190;220;200;160;170
" ";" ";" ";"Sv�mning";6670;6710;6630;7020;7260;7210;6940;6160;6530
